2017:05:30:15:56:32.933,-0.019,-0.253,-1.012
2017:05:30:15:56:33.038,-0.054,-0.282,-1.029
2017:05:30:15:56:33.041,-0.009,-0.277,-0.994
2017:05:30:15:56:33.044,-0.117,-0.337,-1.068
2017:05:30:15:56:33.816,-0.05,-0.317,-0.86
2017:05:30:15:56:33.824,0.071,-0.229,-0.831
2017:05:30:15:56:33.910,0.021,-0.279,-0.988
2017:05:30:15:56:33.916,0.059,-0.302,-1.09
2017:05:30:15:56:33.917,0.037,-0.309,-0.961
2017:05:30:15:56:33.920,0.096,-0.367,-0.963
2017:05:30:15:56:33.922,0.105,-0.381,-1.066
2017:05:30:15:56:33.926,0.144,-0.454,-0.918
2017:05:30:15:56:33.933,0.126,-0.434,-0.974
2017:05:30:15:56:33.936,-0.059,-0.487,-0.886
2017:05:30:15:56:33.950,-0.127,-0.462,-0.969
2017:05:30:15:56:33.953,-0.298,-0.41,-0.794
2017:05:30:15:56:33.963,-0.184,-0.588,-0.739
2017:05:30:15:56:33.966,-0.177,-0.383,-0.599
2017:05:30:15:56:33.977,-0.191,-0.338,-1.015
2017:05:30:15:56:33.981,-0.173,-0.621,-0.779
2017:05:30:15:56:34.017,-0.143,-0.412,-0.767
2017:05:30:15:56:34.022,-0.086,-0.461,-0.988
2017:05:30:15:56:34.044,-0.026,-0.503,-1.045
2017:05:30:15:56:34.052,-0.041,-0.459,-0.568
2017:05:30:15:56:34.056,0.17,-0.545,-0.974
2017:05:30:15:56:34.061,0.369,-0.417,-0.901
2017:05:30:15:56:34.063,0.13,-0.431,-1.017
2017:05:30:15:56:34.077,0.392,-0.476,-0.832
2017:05:30:15:56:34.081,-0.12,-0.443,-0.895
2017:05:30:15:56:34.094,0.554,-0.515,-0.58
2017:05:30:15:56:34.097,0.565,-0.296,-0.402
2017:05:30:15:56:34.110,0.27,-0.207,-0.63
2017:05:30:15:56:34.115,0.13,-0.159,-0.624
2017:05:30:15:56:34.152,0.002,0.116,-1.012
2017:05:30:15:56:34.210,-0.652,-0.227,-1.424
2017:05:30:15:56:34.269,-0.006,-0.072,-0.863
2017:05:30:15:56:34.327,-0.043,-0.098,-1.822
2017:05:30:15:56:34.385,-0.265,-0.138,-1.216
2017:05:30:15:56:34.444,-0.195,-0.282,-1.006
2017:05:30:15:56:34.502,0.222,-0.411,-1.196
2017:05:30:15:56:34.677,0.359,-0.214,-1.182
2017:05:30:15:56:34.731,-0.293,0.162,-0.936
2017:05:30:15:56:34.734,0.202,0.038,-1.056
2017:05:30:15:56:34.737,0.367,0.017,-1.025
2017:05:30:15:56:34.794,0.17,0.076,-0.921
2017:05:30:15:56:34.852,0.128,0.046,-1.104
2017:05:30:15:56:34.911,0.298,0.006,-0.965
2017:05:30:15:56:34.976,0.241,0.001,-0.962
2017:05:30:15:56:35.028,0.215,-0.064,-1.064
2017:05:30:15:56:35.086,0.07,-0.078,-0.314
2017:05:30:15:56:35.151,0.16,-0.159,-0.919
2017:05:30:15:56:35.202,0.033,-0.106,-0.985
2017:05:30:15:56:35.277,0.205,-0.141,-0.583
2017:05:30:15:56:35.332,0.3,-0.285,-1.128
2017:05:30:15:56:35.383,0.207,-0.18,-1.082
2017:05:30:15:56:35.436,-0.007,-0.186,-0.92
2017:05:30:15:56:35.494,0.037,-0.172,-0.962
2017:05:30:15:56:35.563,0.083,-0.15,-0.951
2017:05:30:15:56:35.611,0.152,-0.215,-0.93
2017:05:30:15:56:35.669,0.141,-0.251,-1.108
2017:05:30:15:56:35.728,0.272,-0.145,-1.115
2017:05:30:15:56:35.786,0.271,-0.153,-0.834
2017:05:30:15:56:35.844,0.303,-0.16,-0.936
2017:05:30:15:56:35.903,0.26,-0.228,-0.991
2017:05:30:15:56:35.961,0.212,-0.21,-0.966
2017:05:30:15:56:36.081,0.195,-0.163,-1.059
2017:05:30:15:56:36.083,0.289,-0.183,-0.975
2017:05:30:15:56:36.136,0.201,-0.211,-0.902
2017:05:30:15:56:36.197,0.193,-0.17,-0.891
2017:05:30:15:56:36.253,0.149,-0.137,-0.897
2017:05:30:15:56:36.311,0.166,-0.2,-0.839
2017:05:30:15:56:36.369,0.199,-0.168,-1.112
2017:05:30:15:56:36.443,0.205,-0.132,-0.975
2017:05:30:15:56:36.486,0.109,-0.17,-0.956
2017:05:30:15:56:36.544,0.084,-0.201,-0.94
2017:05:30:15:56:36.604,0.077,-0.176,-0.991
2017:05:30:15:56:36.661,0.173,-0.244,-0.906
2017:05:30:15:56:36.719,0.227,-0.141,-0.948
2017:05:30:15:56:36.778,0.337,-0.138,-0.824
2017:05:30:15:56:36.836,0.383,-0.117,-0.918
2017:05:30:15:56:36.894,0.385,-0.235,-0.999
2017:05:30:15:56:36.952,0.272,-0.143,-0.848
2017:05:30:15:56:37.011,0.215,-0.162,-0.907
2017:05:30:15:56:37.069,0.191,-0.225,-0.957
2017:05:30:15:56:37.128,0.15,-0.176,-1.025
2017:05:30:15:56:37.186,0.098,-0.207,-0.776
2017:05:30:15:56:37.244,0.254,-0.225,-0.833
2017:05:30:15:56:37.302,0.331,-0.191,-0.848
2017:05:30:15:56:37.361,0.31,-0.173,-1.014
2017:05:30:15:56:37.419,0.38,-0.186,-0.935
2017:05:30:15:56:37.477,0.12,-0.13,-0.947
2017:05:30:15:56:37.536,0.256,-0.181,-1.065
2017:05:30:15:56:37.594,0.011,-0.198,-0.971
2017:05:30:15:56:37.652,0.002,-0.204,-1.135
2017:05:30:15:56:37.711,0.045,-0.181,-1.077
2017:05:30:15:56:37.769,0.045,-0.15,-0.973
2017:05:30:15:56:37.828,-0.029,-0.137,-0.94
2017:05:30:15:56:37.886,0.156,-0.185,-0.92
2017:05:30:15:56:37.953,0.162,-0.145,-0.954
2017:05:30:15:56:38.002,0.248,-0.15,-1.131
2017:05:30:15:56:38.061,0.061,-0.167,-1.038
2017:05:30:15:56:38.119,0.029,-0.209,-0.917
2017:05:30:15:56:38.179,0.187,-0.153,-0.999
2017:05:30:15:56:38.237,0.201,-0.18,-0.878
2017:05:30:15:56:38.298,0.063,-0.208,-0.997
2017:05:30:15:56:38.354,0.19,-0.179,-1.011
2017:05:30:15:56:38.411,0.251,-0.113,-0.966
2017:05:30:15:56:38.469,0.126,-0.144,-0.977
2017:05:30:15:56:38.528,0.029,-0.153,-1.001
2017:05:30:15:56:38.587,-0.007,-0.193,-0.896
2017:05:30:15:56:38.645,0.165,-0.201,-1.238
2017:05:30:15:56:38.703,-0.032,-0.122,-1.211
2017:05:30:15:56:38.762,-0.002,-0.187,-1.064
2017:05:30:15:56:38.820,-0.077,-0.114,-0.936
2017:05:30:15:56:38.879,0.181,-0.208,-0.957
2017:05:30:15:56:38.936,0.152,-0.134,-0.98
2017:05:30:15:56:38.994,0.092,-0.213,-0.859
2017:05:30:15:56:39.052,0.333,-0.134,-1.155
2017:05:30:15:56:39.111,0.16,-0.193,-0.944
2017:05:30:15:56:39.169,0.017,-0.226,-0.831
2017:05:30:15:56:39.228,0.058,-0.161,-0.945
2017:05:30:15:56:39.286,0.269,-0.18,-0.938
2017:05:30:15:56:39.345,0.165,-0.186,-1.003
2017:05:30:15:56:39.403,0.263,-0.175,-0.921
2017:05:30:15:56:39.461,0.176,-0.161,-0.93
2017:05:30:15:56:39.519,0.187,-0.196,-1.057
2017:05:30:15:56:39.578,0.244,-0.202,-0.933
2017:05:30:15:56:39.636,0.135,-0.189,-0.98
2017:05:30:15:56:39.695,0.058,-0.161,-1.036
2017:05:30:15:56:39.753,0.177,-0.147,-1.02
2017:05:30:15:56:39.812,0.098,-0.172,-0.987
2017:05:30:15:56:39.870,-0.005,-0.204,-0.924
2017:05:30:15:56:39.929,0.083,-0.115,-1.015
2017:05:30:15:56:39.986,0.192,-0.208,-1.076
2017:05:30:15:56:40.045,0.237,-0.175,-1.027
2017:05:30:15:56:40.104,0.16,-0.231,-0.936
2017:05:30:15:56:40.178,0.055,-0.21,-1.042
2017:05:30:15:56:40.200,0.147,-0.212,-1.064
2017:05:30:15:56:40.258,-0.085,-0.134,-0.927
2017:05:30:15:56:40.316,0.064,-0.142,-1.072
2017:05:30:15:56:40.375,-0.026,-0.183,-0.909
2017:05:30:15:56:40.447,0.171,-0.193,-1.118
2017:05:30:15:56:40.492,-0.007,-0.092,-0.946
2017:05:30:15:56:40.550,0.089,-0.235,-1.064
2017:05:30:15:56:40.609,0.233,-0.157,-1.02
2017:05:30:15:56:40.667,0.099,-0.139,-1.001
2017:05:30:15:56:40.725,0.104,-0.172,-1.044
2017:05:30:15:56:40.784,0.207,-0.219,-1.041
2017:05:30:15:56:40.843,0.097,-0.192,-0.954
2017:05:30:15:56:40.914,0.245,-0.147,-1.059
2017:05:30:15:56:40.959,0.1,-0.169,-0.913
2017:05:30:15:56:41.017,0.321,-0.124,-0.878
2017:05:30:15:56:41.076,0.336,-0.177,-1.044
2017:05:30:15:56:41.134,0.139,-0.158,-1.085
2017:05:30:15:56:41.192,-0.01,-0.179,-0.998
2017:05:30:15:56:41.251,0.097,-0.152,-1.121
2017:05:30:15:56:41.311,0.164,-0.156,-1.016
2017:05:30:15:56:41.367,-0.032,-0.192,-0.915
2017:05:30:15:56:41.426,0.105,-0.164,-1.206
2017:05:30:15:56:41.484,0.053,-0.12,-1.018
2017:05:30:15:56:41.542,0.194,-0.212,-1.042
2017:05:30:15:56:41.601,0.147,-0.137,-0.998
2017:05:30:15:56:41.659,0.276,-0.221,-0.869
2017:05:30:15:56:41.718,0.36,-0.195,-1.089
2017:05:30:15:56:41.777,0.247,-0.224,-0.925
2017:05:30:15:56:41.834,0.237,-0.227,-0.944
2017:05:30:15:56:41.894,0.229,-0.191,-0.941
2017:05:30:15:56:41.951,0.268,-0.151,-0.795
2017:05:30:15:56:42.010,0.417,-0.135,-0.902
2017:05:30:15:56:42.067,0.374,-0.22,-0.99
2017:05:30:15:56:42.126,0.282,-0.188,-1.021
2017:05:30:15:56:42.185,0.214,-0.158,-1.041
2017:05:30:15:56:42.243,0.069,-0.181,-0.979
2017:05:30:15:56:42.301,0.1,-0.178,-0.944
2017:05:30:15:56:42.361,0.106,-0.169,-0.934
2017:05:30:15:56:42.418,0.161,-0.195,-1.004
2017:05:30:15:56:42.476,0.128,-0.184,-0.855
2017:05:30:15:56:42.534,0.17,-0.117,-0.942
2017:05:30:15:56:42.592,0.189,-0.131,-0.88
2017:05:30:15:56:42.651,0.197,-0.186,-0.929
2017:05:30:15:56:42.710,0.218,-0.214,-1.055
2017:05:30:15:56:42.769,0.204,-0.241,-0.906
2017:05:30:15:56:42.827,0.218,-0.123,-1.025
2017:05:30:15:56:42.858,0.354,-0.165,-1.032
2017:05:30:15:56:42.915,0.226,-0.145,-0.964
2017:05:30:15:56:42.973,0.184,-0.179,-0.982
2017:05:30:15:56:43.031,0.28,-0.156,-1.194
2017:05:30:15:56:43.089,0.101,-0.171,-1.071
2017:05:30:15:56:43.147,-0.003,-0.202,-0.904
2017:05:30:15:56:43.206,0.134,-0.209,-0.877
2017:05:30:15:56:43.264,0.108,-0.169,-0.854
2017:05:30:15:56:43.323,0.284,-0.138,-0.888
2017:05:30:15:56:43.385,0.373,-0.191,-1.005
2017:05:30:15:56:43.440,0.308,-0.184,-1.007
2017:05:30:15:56:43.498,0.294,-0.132,-0.724
2017:05:30:15:56:43.556,0.212,-0.189,-1.043
2017:05:30:15:56:43.615,0.234,-0.184,-0.846
2017:05:30:15:56:43.673,0.185,-0.238,-0.868
2017:05:30:15:56:43.731,0.313,-0.226,-0.969
2017:05:30:15:56:43.790,0.167,-0.144,-1.051
2017:05:30:15:56:43.848,0.042,-0.168,-0.927
2017:05:30:15:56:43.907,0.075,-0.136,-0.97
2017:05:30:15:56:43.966,0.23,-0.127,-1.089
2017:05:30:15:56:44.023,0.056,-0.185,-1.014
2017:05:30:15:56:44.082,0.134,-0.264,-1.007
2017:05:30:15:56:44.140,0.131,-0.173,-1.063
2017:05:30:15:56:44.198,0.18,-0.159,-1.034
2017:05:30:15:56:44.257,0.107,-0.145,-0.824
2017:05:30:15:56:44.315,0.135,-0.261,-0.867
2017:05:30:15:56:44.374,0.233,-0.163,-0.965
2017:05:30:15:56:44.433,0.261,-0.247,-0.828
2017:05:30:15:56:44.491,0.286,-0.159,-0.803
2017:05:30:15:56:44.549,0.269,-0.163,-0.962
2017:05:30:15:56:44.607,0.292,-0.16,-0.94
2017:05:30:15:56:44.665,0.187,-0.153,-1.018
2017:05:30:15:56:44.724,0.214,-0.167,-0.916
2017:05:30:15:56:44.782,0.154,-0.155,-0.932
2017:05:30:15:56:44.841,0.081,-0.213,-0.968
2017:05:30:15:56:44.899,0.166,-0.17,-0.959
2017:05:30:15:56:44.958,0.111,-0.223,-0.898
2017:05:30:15:56:45.016,-0.07,-0.159,-0.883
2017:05:30:15:56:45.074,0.295,-0.114,-0.929
2017:05:30:15:56:45.133,0.047,-0.137,-0.878
2017:05:30:15:56:45.191,0.166,-0.208,-1.037
2017:05:30:15:56:45.249,0.062,-0.149,-0.97
2017:05:30:15:56:45.307,0.035,-0.194,-0.902
2017:05:30:15:56:45.366,0.265,-0.154,-1.004
2017:05:30:15:56:45.423,0.22,-0.259,-1.024
2017:05:30:15:56:45.482,0.229,-0.198,-0.963
2017:05:30:15:56:45.540,0.233,-0.176,-0.812
2017:05:30:15:56:45.599,0.171,-0.231,-0.923
2017:05:30:15:56:45.659,0.068,-0.14,-0.906
2017:05:30:15:56:45.717,0.435,-0.135,-1.072
2017:05:30:15:56:45.774,0.238,-0.237,-1.048
2017:05:30:15:56:45.832,0.109,-0.235,-1.127
2017:05:30:15:56:45.896,-0.046,-0.105,-0.944
2017:05:30:15:56:45.949,-0.043,-0.2,-0.846
2017:05:30:15:56:46.010,0.104,-0.205,-1.036
2017:05:30:15:56:46.066,0.167,-0.221,-1.053
2017:05:30:15:56:46.126,0.02,-0.142,-0.958
2017:05:30:15:56:46.184,0.033,-0.234,-0.959
2017:05:30:15:56:46.243,0.071,-0.177,-0.989
2017:05:30:15:56:46.300,0.123,-0.167,-0.913
2017:05:30:15:56:46.359,0.211,-0.154,-0.889
2017:05:30:15:56:46.417,0.188,-0.216,-0.965
2017:05:30:15:56:46.475,0.243,-0.178,-1.093
2017:05:30:15:56:46.534,0.081,-0.122,-1.036
2017:05:30:15:56:46.592,0.037,-0.225,-0.976
2017:05:30:15:56:46.650,0.1,-0.205,-1.012
2017:05:30:15:56:46.709,0.048,-0.132,-0.972
2017:05:30:15:56:46.767,0.017,-0.146,-0.899
2017:05:30:15:56:46.825,0.09,-0.217,-0.876
2017:05:30:15:56:46.883,0.011,-0.223,-1.049
2017:05:30:15:56:46.942,-0.062,-0.129,-1.031
2017:05:30:15:56:47.000,0.042,-0.161,-1.051
2017:05:30:15:56:47.059,-0.027,-0.192,-0.962
2017:05:30:15:56:47.119,0.013,-0.156,-0.929
2017:05:30:15:56:47.174,-0.132,-0.127,-0.937
2017:05:30:15:56:47.234,-0.052,-0.197,-1.021
2017:05:30:15:56:47.292,0.095,-0.177,-0.983
2017:05:30:15:56:47.351,0.094,-0.187,-0.831
2017:05:30:15:56:47.409,0.133,-0.185,-0.988
2017:05:30:15:56:47.475,0.047,-0.223,-0.838
2017:05:30:15:56:47.525,0.012,-0.148,-0.954
2017:05:30:15:56:47.591,0.025,-0.171,-0.981
2017:05:30:15:56:47.642,0.207,-0.162,-0.994
2017:05:30:15:56:47.700,0.126,-0.215,-1.045
2017:05:30:15:56:47.759,0.08,-0.15,-1.134
2017:05:30:15:56:47.817,-0.019,-0.174,-0.946
2017:05:30:15:56:47.875,-0.094,-0.174,-0.954
2017:05:30:15:56:47.933,0.077,-0.189,-1
2017:05:30:15:56:47.992,0.085,-0.209,-0.893
2017:05:30:15:56:48.050,0.061,-0.248,-0.926
2017:05:30:15:56:48.109,0.044,-0.148,-0.917
2017:05:30:15:56:48.167,0.137,-0.151,-0.874
2017:05:30:15:56:48.225,0.113,-0.161,-0.982
2017:05:30:15:56:48.284,0.129,-0.175,-0.849
2017:05:30:15:56:48.342,0.112,-0.184,-0.935
2017:05:30:15:56:48.401,0.124,-0.172,-1.104
2017:05:30:15:56:48.460,0.086,-0.134,-0.989
2017:05:30:15:56:48.518,0.081,-0.226,-0.922
2017:05:30:15:56:48.576,0.225,-0.213,-0.986
2017:05:30:15:56:48.635,0.084,-0.207,-0.917
2017:05:30:15:56:48.692,0.062,-0.223,-1.049
2017:05:30:15:56:48.751,0.07,-0.164,-0.91
2017:05:30:15:56:48.809,0.14,-0.267,-0.88
2017:05:30:15:56:48.867,-0.004,-0.133,-1.024
2017:05:30:15:56:48.927,0.063,-0.15,-0.96
2017:05:30:15:56:48.984,-0.052,-0.132,-0.957
2017:05:30:15:56:49.043,0.057,-0.213,-1.036
2017:05:30:15:56:49.101,-0.026,-0.152,-0.844
2017:05:30:15:56:49.162,-0.035,-0.203,-0.885
2017:05:30:15:56:49.217,0.081,-0.164,-1.067
2017:05:30:15:56:49.276,0.17,-0.158,-1.001
2017:05:30:15:56:49.334,0.342,-0.221,-1.011
2017:05:30:15:56:49.394,0.063,-0.177,-0.938
2017:05:30:15:56:49.451,0.201,-0.179,-1.054
2017:05:30:15:56:49.510,0.093,-0.196,-0.959
2017:05:30:15:56:49.568,0.074,-0.192,-0.986
2017:05:30:15:56:49.627,0.225,-0.206,-1.111
2017:05:30:15:56:49.686,0.176,-0.265,-1.027
2017:05:30:15:56:49.743,-0.025,-0.15,-0.887
2017:05:30:15:56:49.802,-0.069,-0.206,-0.969
2017:05:30:15:56:49.860,0.084,-0.11,-0.874
2017:05:30:15:56:49.919,0.032,-0.18,-0.986
2017:05:30:15:56:49.977,-0.076,-0.19,-0.85
2017:05:30:15:56:50.035,0.042,-0.187,-1.025
2017:05:30:15:56:50.094,0.165,-0.105,-0.981
2017:05:30:15:56:50.152,0.19,-0.135,-0.976
2017:05:30:15:56:50.211,0.119,-0.181,-0.99
2017:05:30:15:56:50.269,0.134,-0.138,-1.138
2017:05:30:15:56:50.327,0.233,-0.214,-1.042
2017:05:30:15:56:50.386,0.097,-0.203,-0.944
2017:05:30:15:56:50.444,0.173,-0.247,-1.013
2017:05:30:15:56:50.503,0.05,-0.147,-1.039
2017:05:30:15:56:50.561,0.027,-0.212,-0.911
2017:05:30:15:56:50.619,0.151,-0.206,-0.963
2017:05:30:15:56:50.678,0.054,-0.136,-0.869
2017:05:30:15:56:50.737,0.209,-0.089,-0.984
2017:05:30:15:56:50.795,0.139,-0.208,-1.073
2017:05:30:15:56:50.853,0.064,-0.221,-1.08
2017:05:30:15:56:50.911,0.014,-0.134,-1.024
2017:05:30:15:56:50.970,0.135,-0.162,-0.907
2017:05:30:15:56:51.028,0.099,-0.195,-0.799
2017:05:30:15:56:51.087,0.17,-0.172,-0.974
2017:05:30:15:56:51.145,0.091,-0.196,-0.913
2017:05:30:15:56:51.215,0.187,-0.203,-0.972
2017:05:30:15:56:51.262,0.249,-0.154,-0.976
2017:05:30:15:56:51.321,0.143,-0.205,-0.956
2017:05:30:15:56:51.378,0.187,-0.168,-1.06
2017:05:30:15:56:51.437,0.095,-0.238,-1.049
2017:05:30:15:56:51.495,0.042,-0.112,-0.916
2017:05:30:15:56:51.553,0.091,-0.158,-0.933
2017:05:30:15:56:51.612,0.154,-0.242,-0.996
2017:05:30:15:56:51.670,0.11,-0.213,-1.058
2017:05:30:15:56:51.729,0.169,-0.169,-0.917
2017:05:30:15:56:51.789,0.077,-0.139,-0.866
2017:05:30:15:56:51.846,0.155,-0.141,-0.841
2017:05:30:15:56:51.904,0.145,-0.179,-1.02
2017:05:30:15:56:51.962,0.05,-0.177,-1.011
2017:05:30:15:56:52.021,0.144,-0.196,-1.113
2017:05:30:15:56:52.079,0.183,-0.143,-1.16
2017:05:30:15:56:52.137,-0.073,-0.154,-0.939
2017:05:30:15:56:52.196,0.031,-0.178,-1.071
2017:05:30:15:56:52.254,0.083,-0.225,-0.915
2017:05:30:15:56:52.313,0.063,-0.151,-0.807
